מחלקה,ברקוד,פריט,ספק,01/09/2025,עלות,מחיר מכירה,כמות במלאי,כמות מינימלי,כמות מקסימלי,"סה""כ עלות","סה""כ מכירה"
אפיה ומטבח,7.29001E+12,מנג מרובע ע חום מס' 3 100 יחי',"מחטף יבוא ושיווק בע""מ ",03/12/2025,6.14,11,24,,,147.36,264
אפיה ומטבח,7.29E+12,מנג'ט לבן מס' 4 100 יחי',"מחטף יבוא ושיווק בע""מ ",08/02/2026,5.78,10,15,,,86.7,150
אפיה ומטבח,7.29E+12,מנגל חד פעמי,"הנמל אריזות ושיווק 1984 בע""מ ",11/01/2026,10.5,25,15,,,157.5,375
אפיה ומטבח,7.29012E+12,מנגל פח ענק 30X80 + רשת מתקפל,"פעמית תבניכל שיווק בע""מ ",11/01/2026,48.38,80,8,,,387.04,640
אפיה ומטבח,6.21895E+12,מנורת שולחן USB צבעים, ספק כללי,08/01/2026,14.16,30,10,,,141.6,300
אפיה ומטבח,7.29012E+12,מנורת שולחן אהיל,"י.סולומון חוויה שבכלי בע""מ",05/01/2026,19.47,35,25,,,486.75,875
אפיה ומטבח,7.29002E+12,מסחטת מיץ קליק,"פעמית תבניכל שיווק בע""מ ",05/01/2026,3.42,6,25,,,85.5,150
אפיה ומטבח,7.29012E+12,מסננת אלומיניום חדשנית + פיה,"פעמית תבניכל שיווק בע""מ ",11/01/2026,14.04,24,24,,,336.96,576
אפיה ומטבח,7.29002E+12,מסננת פסטה פלסטיק עם ידיות,"פעמית תבניכל שיווק בע""מ ",11/01/2026,4.37,8,32,,,139.84,256
אפיה ומטבח,7.2901E+12,"מסננת רשת 20 ס""מ דגם מרגלית","י.סולומון חוויה שבכלי בע""מ",18/12/2025,13.5,25,24,,,324,600
אפיה ומטבח,7.2901E+12,"מסננת רשת 24 ס""מ דגם מרגלית","י.סולומון חוויה שבכלי בע""מ",18/12/2025,17.5,32,23,,,402.5,736
אפיה ומטבח,7.10255E+12,מעמד אקרילי לאיפור חצי עיגול,"רוי מרקטינג יבוא בע""מ ",14/01/2026,18.29,32,3,,,54.87,96
אפיה ומטבח,7.10255E+12,מעמד אקרילי לאיפור מברשות,"רוי מרקטינג יבוא בע""מ ",02/12/2025,17.11,30,5,,,85.55,150
אפיה ומטבח,7.29012E+12,מעמד לחימום,"סקטור אפיקים בע""מ ",13/01/2026,11.8,22,24,,,283.2,528
אפיה ומטבח,7.2901E+12,מעמד לנייר סופג שחור/לבן/כסף,"י.סולומון חוויה שבכלי בע""מ",02/12/2025,15.69,28,5,,,78.45,140
אפיה ומטבח,7.29002E+12,מעמד נירוסטה מסתובב לעוגה בסיס ורוד/לבן,דולפין יבוא ושיווק ,13/01/2026,100.3,170,2,,,200.6,340
אפיה ומטבח,7.29011E+12,מערוך נירוסטה,"י.סולומון חוויה שבכלי בע""מ",02/12/2025,8.08,16,24,,,193.92,384
אפיה ומטבח,7.29062E+12,"מערוך סיליקון לילדים 4*22 ס""מ",דולפין יבוא ושיווק ,02/12/2025,8.14,15,4,,,32.56,60
אפיה ומטבח,7.29012E+12,"מערוך עץ 45 ס""מ","י.סולומון חוויה שבכלי בע""מ",01/09/2025,15.69,26,19,,,298.11,494
אפיה ומטבח,7.29012E+12,מערוך עץ בשילוב סיליקון,"י.סולומון חוויה שבכלי בע""מ",01/09/2025,19.47,16,4,,,77.88,64
אפיה ומטבח,7.29001E+12,"מפה  טנדרלי לבן-שחור 137 *274ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.89,10,66,,,256.74,660
אפיה ומטבח,7.29012E+12,"מפה מובלטת כסף    274*137 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,5.52,10,17,,,93.84,170
אפיה ומטבח,7.29011E+12,"מפה מובלטת מנטה  274*137 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,5.52,10,12,,,66.24,120
אפיה ומטבח,7.29012E+12,"מפה מובלטת קרם  274*137 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.14,10,74,,,454.36,740
אפיה ומטבח,7.29011E+12,"מפה מובלטת שחור  274*137 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",21/12/2025,6.14,10,44,,,270.16,440
אפיה ומטבח,8.35811E+11,מפה נילון בגליל 45 מ' עבה במיוחד,"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,22.3,32,7,0,0,156.1,224
אפיה ומטבח,7.29012E+12,"מפה עגולה קרם 210 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.49,12,25,,,162.25,300
אפיה ומטבח,7.29012E+12,מפה שולחן בגליל ירוק אל בד,"פעמית תבניכל שיווק בע""מ ",08/02/2026,15.93,30,5,0,0,79.65,150
אפיה ומטבח,7.29012E+12,מפות אל-בד 2 יחי' לבן/קרם,"הנמל אריזות ושיווק 1984 בע""מ ",18/01/2026,3.54,10,22,0,0,77.88,220
אפיה ומטבח,7.29E+12,"מפיות אירוח 33X33 ס""מ אר' 100 יחי'","הנמל אריזות ושיווק 1984 בע""מ ",18/01/2026,2.95,6,92,,,271.4,552
אפיה ומטבח,7.29012E+12,"מפיות נייר 23 ס""מ 8 יחי' מפרץ ההרפתקאות",שמחה זה אנחנו,01/09/2025,6.96,12,12,,,83.52,144
אפיה ומטבח,7.29012E+12,מפיות נייר צורני 16 יחי' בר מצווה 13,שמחה זה אנחנו,01/09/2025,4.13,8,3,,,12.39,24
אפיה ומטבח,3.83895E+12,מפיות קוקטייל 24/24,נאמן לאורך זמן ,08/12/2025,0,3,30,0,0,0,90
אפיה ומטבח,7.29011E+12,מפיות תחרה 16 עגול אר' 40,"פעמית תבניכל שיווק בע""מ ",08/12/2025,3.07,6,4,0,0,12.28,24
אפיה ומטבח,7.29011E+12,מפיות תחרה 17X34 מלבן ארוז 16,"פעמית תבניכל שיווק בע""מ ",01/09/2025,2.71,7,18,,,48.78,126
אפיה ומטבח,7.29011E+12,מפיות תחרה 32 עגול אר' 12,"פעמית תבניכל שיווק בע""מ ",01/09/2025,2.71,7,15,,,40.65,105
אפיה ומטבח,7.29E+12,מפיץ ריח ce la vie,"סנרייז אבי בע""מ ",01/09/2025,10.2,14,10,0,0,102,140
אפיה ומטבח,7.29E+12,מפיץ ריח לילות לבנים,"סנרייז אבי בע""מ ",25/01/2026,6.02,11,11,0,0,66.22,121
אפיה ומטבח,7.29E+12,מפיץ ריח לרכב,"סנרייז אבי בע""מ ",21/12/2025,7.79,15,13,0,0,101.27,195
אפיה ומטבח,7.29012E+12,מפית 33*33 16 יחי',"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.88,7,43,,,166.84,301
אפיה ומטבח,7.29012E+12,מפית בת מצווה 12 רוז גולד 12 יחי,"נ.ש.מ יבוא שיווק והפצה בע""מ ",21/12/2025,3.87,8,25,,,96.75,200
אפיה ומטבח,7.29012E+12,מפית זהב 33*33 16 יחי',"נ.ש.מ יבוא שיווק והפצה בע""מ ",21/12/2025,3.88,7,60,0,0,232.8,420
אפיה ומטבח,7.29012E+12,מפית חלאקה צבעוני + זהב,"נ.ש.מ יבוא שיווק והפצה בע""מ ",21/12/2025,3.87,9,30,,,116.1,270
אפיה ומטבח,7.29012E+12,מפית יום הולדת שמח 16 יחי',"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.87,8,23,,,89.01,184
אפיה ומטבח,7.29012E+12,מפית יום הולדת שמח צבעוני + זהב,"נ.ש.מ יבוא שיווק והפצה בע""מ ",21/12/2025,3.87,9,25,,,96.75,225
אפיה ומטבח,7.29012E+12,"מפית כסף 33*33 ס""מ 16 יחי'","נ.ש.מ יבוא שיווק והפצה בע""מ ",11/01/2026,3.88,7,56,0,0,217.28,392
אפיה ומטבח,7.29012E+12,מפית מזל טוב לבן-זהב 33*33,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.87,8,11,,,42.57,88
אפיה ומטבח,6.99029E+12,מפצח אגוזים ברזל, ספק כללי,08/12/2025,11.8,22,4,,,47.2,88
אפיה ומטבח,7.29012E+12,מפת  שולחן בגליל כתום אל בד,"פעמית תבניכל שיווק בע""מ ",19/01/2026,15.93,30,6,0,0,95.58,180
אפיה ומטבח,7.29002E+12,מפת אל בד 20 מ' בצבע לבן,"דנטס אריזות בע""מ",19/01/2026,12.86,30,22,,,282.92,660
אפיה ומטבח,7.29001E+12,מפת אל בד חתוך 11/18 לבן,"דנטס אריזות בע""מ",08/12/2025,1.89,4,48,,,90.72,192
אפיה ומטבח,7.29002E+12,מפת אל בד חתוך 11/18 שחור,"דנטס אריזות בע""מ",08/02/2026,1.89,4,50,,,94.5,200
אפיה ומטבח,7.29002E+12,מפת אל בד מוטבעת פרחים לבן,"דנטס אריזות בע""מ",08/02/2026,12.86,30,1,,,12.86,30
אפיה ומטבח,7.29011E+12,מפת ראנר בגליל + סכין חיתוך זהב לבן,"פעמית תבניכל שיווק בע""מ ",01/09/2025,17.58,30,6,,,105.48,180
אפיה ומטבח,7.29011E+12,מפת ראנר בגליל + סכין חיתוך כסף לבן,"פעמית תבניכל שיווק בע""מ ",18/12/2025,17.58,30,6,,,105.48,180
אפיה ומטבח,7.29001E+12,מפת רנר דגם רוז לבן -זהב 137*274,"נ.ש.מ יבוא שיווק והפצה בע""מ ",14/01/2026,3.89,10,55,0,0,213.95,550
אפיה ומטבח,5.20118E+12,מפת שולחן 120X180 סטיץ,שמחה זה אנחנו,01/09/2025,11.21,18,4,,,44.84,72
אפיה ומטבח,7.29012E+12,מפת שולחן 145X240,"סקטור אפיקים בע""מ ",18/12/2025,29.5,55,7,,,206.5,385
אפיה ומטבח,7.29012E+12,מפת שולחן C אדום 137X274,שמחה זה אנחנו,01/09/2025,4.6,8,1,0,0,4.6,8
אפיה ומטבח,7.29012E+12,מפת שולחן C לבן 137X274,שמחה זה אנחנו,01/09/2025,4.6,10,5,,,23,50
אפיה ומטבח,7.29012E+12,מפת שולחן C תכלת 137X274,שמחה זה אנחנו,01/09/2025,4.6,8,1,0,0,4.6,8
אפיה ומטבח,7.29012E+12,מפת שולחן בגליל אדום אל - בד,"פעמית תבניכל שיווק בע""מ ",25/11/2025,15.93,30,5,0,0,79.65,150
אפיה ומטבח,7.29012E+12,מפת שולחן בגליל זהב אל-בד,"פעמית תבניכל שיווק בע""מ ",01/09/2025,15.93,30,6,0,0,95.58,180
אפיה ומטבח,7.29012E+12,מפת שולחן בגליל כחול אל בד,"פעמית תבניכל שיווק בע""מ ",01/09/2025,15.93,30,5,2,,79.65,150
אפיה ומטבח,7.29012E+12,מפת שולחן בגליל לילך אל בד,"פעמית תבניכל שיווק בע""מ ",01/09/2025,15.93,30,4,0,0,63.72,120
אפיה ומטבח,7.29012E+12,מפת שולחן בגליל שחור אל בד,"פעמית תבניכל שיווק בע""מ ",01/09/2025,15.93,30,3,0,0,47.79,90
אפיה ומטבח,7.29012E+12,מפת שולחן בגליל תכלת אל בד,"פעמית תבניכל שיווק בע""מ ",01/09/2025,15.93,30,2,0,0,31.86,60
אפיה ומטבח,7.29012E+12,מפת שולחן חרדל C 137X274,שמחה זה אנחנו,08/12/2025,4.6,10,3,0,0,13.8,30
אפיה ומטבח,7.29012E+12,מפת שולחן טורקיז אל-בד,"פעמית תבניכל שיווק בע""מ ",18/01/2026,15.93,30,6,0,0,95.58,180
אפיה ומטבח,7.29001E+12,מפת שולחן מעוצבת 20 מ' רנר  לבן/כסף,"דנטס אריזות בע""מ",08/02/2026,22.3,30,10,,,223,300
אפיה ומטבח,7.29012E+12,מפת שולחן ספיידרמן,שמחה זה אנחנו,08/02/2026,10.5,20,4,,,42,80
אפיה ומטבח,7.29012E+12,מפת שולחן ראנר זהב אלבד בקרטון 10 מ',"פעמית תבניכל שיווק בע""מ ",14/01/2026,11.8,20,6,,,70.8,120
אפיה ומטבח,7.29012E+12,מפת שולחן ראנר כסף אלבד בקרטון 10 מ',"פעמית תבניכל שיווק בע""מ ",14/01/2026,11.8,20,6,,,70.8,120
אפיה ומטבח,7.29012E+12,מצעים יחיד LOVE,"סקטור אפיקים בע""מ ",14/01/2026,35.4,60,12,,,424.8,720
אפיה ומטבח,7.29012E+12,מצעים מיטה וחצי STARS,"סקטור אפיקים בע""מ ",05/01/2026,41.3,75,12,,,495.6,900
אפיה ומטבח,7.29012E+12,מצעים קינג ARCH,"סקטור אפיקים בע""מ ",05/01/2026,53.1,90,11,,,584.1,990
אפיה ומטבח,7.29002E+12,מקל אלומיניום מצופה אדום הברגה,"דנטס אריזות בע""מ",05/01/2026,3.54,7,23,,,81.42,161
אפיה ומטבח,7.29012E+12,מקל מתכת 1.5 מ' אדום,"פעמית תבניכל שיווק בע""מ ",05/01/2026,2.95,7,24,,,70.8,168
אפיה ומטבח,7.29012E+12,מקל מתכת 1.5 מטר כחול,"פעמית תבניכל שיווק בע""מ ",04/01/2026,2.95,7,15,,,44.25,105
אפיה ומטבח,7.29012E+12,מקל עץ 1.5 מ' ברזיל,"פעמית תבניכל שיווק בע""מ ",04/01/2026,3.78,7,12,,,45.36,84
אפיה ומטבח,7.29001E+12,מקרון ורוד,"רות פטיפורים בע""מ",04/01/2026,16.99,28,239,,,4060.61,6692
אפיה ומטבח,7.29001E+12,מקרון כחול,"רות פטיפורים בע""מ",11/01/2026,16.99,28,240,,,4077.6,6720
אפיה ומטבח,7.29001E+12,מקרון לבן,"רות פטיפורים בע""מ",11/01/2026,16.99,28,240,,,4077.6,6720
אפיה ומטבח,7.28012E+12,"מראה אובלית 80*50 ס""מ מסגרת אלומיניום","י.סולומון חוויה שבכלי בע""מ",11/01/2026,57.82,100,4,,,231.28,400
אפיה ומטבח,7.29012E+12,"מראה עגולה מסגרת אלומיניום 50 ס""מ","י.סולומון חוויה שבכלי בע""מ",15/01/2026,53.1,95,8,,,424.8,760
אפיה ומטבח,7.29012E+12,"מראה עגולה מסגרת אלומיניום 60 ס""מ","י.סולומון חוויה שבכלי בע""מ",15/01/2026,76.7,130,6,,,460.2,780
אפיה ומטבח,6.92354E+12,מרכז שולחן כובע -גליטר קאפה,"דקל יבוא ויצור דברי נוי בע""מ ",22/01/2026,7.5,14,6,,,45,84
אפיה ומטבח,6.92354E+12,מרכז שולחן מסכה גליטר קאפה,"דקל יבוא ויצור דברי נוי בע""מ ",05/02/2026,7.5,14,6,,,45,84
אפיה ומטבח,7.29011E+12,מרכך בייבי שיבולת שועל,"החברה הדרומית לשיווק בע""מ ",27/01/2026,17.94,25,2,,,35.88,50
אפיה ומטבח,7.29001E+12,מרכך מרוכז ביו 1 ליטר,"החברה הדרומית לשיווק בע""מ ",02/02/2026,12.04,20,12,,,144.48,240
אפיה ומטבח,7.29011E+12,מרכך מרוכז ש. שועל ביי,"החברה הדרומית לשיווק בע""מ ",25/01/2026,13.57,20,11,,,149.27,220
אפיה ומטבח,7.29002E+12,מרקיה 16 OZ אר' 8 ורוד/לבן/שקוףשחור,"דנטס אריזות בע""מ",30/12/2025,5.31,10,48,,,254.88,480
אפיה ומטבח,7.29012E+12,מרקיה דגם פטל קרם ופס זהב 10 יחי',"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,5.84,10,71,,,414.64,710
אפיה ומטבח,7.29002E+12,מרקיה נצנץ פנינה זהב שקוף,"משי תעשיות פלסטיק בע""מ ",30/11/2025,5.9,10,36,,,212.4,360
אפיה ומטבח,7.29011E+12,מרקיה סוהו קרם 10 יחידות,"נ.ש.מ יבוא שיווק והפצה בע""מ ",08/02/2026,7.17,16,16,0,0,114.72,256
אפיה ומטבח,7.29012E+12,מרקיה ספיר פס זהב 10 יחי',"הנמל אריזות ושיווק 1984 בע""מ ",08/02/2026,6.49,11,27,,,175.23,297
אפיה ומטבח,7.29012E+12,מרקיה שוהם ורוד עם כסף אר' 10,"פעמית תבניכל שיווק בע""מ ",02/09/2025,7.67,13,15,,,115.05,195
אפיה ומטבח,7.29012E+12,מרקיה שוהם כחול שמיים פס כסף אר'10,"פעמית תבניכל שיווק בע""מ ",29/01/2026,7.67,13,14,,,107.38,182
אפיה ומטבח,7.29001E+12,מרקיה שקופה 25 יח,"מחטף יבוא ושיווק בע""מ ",01/09/2025,6.96,12,41,,,285.36,492
אפיה ומטבח,7.29012E+12,מרקיות ספיר רקע פנינה 10 יח',"הנמל אריזות ושיווק 1984 בע""מ ",01/02/2026,6.49,12,12,,,77.88,144
אפיה ומטבח,7.29002E+12,משאבה מסיר לק ריחני גדול,נאמן לאורך זמן ,13/01/2026,9.09,14,39,0,0,354.51,546
אפיה ומטבח,7.29012E+12,משטח מסיליקון ומעמד מתכת לייבוש כלים,"י.סולומון חוויה שבכלי בע""מ",13/01/2026,23.6,40,8,,,188.8,320
אפיה ומטבח,7.29062E+12,משטח מקרונים 30*42,דולפין יבוא ושיווק ,13/01/2026,29.5,52,6,,,177,312
אפיה ומטבח,7.29062E+12,משטח סיליקון 40*50,דולפין יבוא ושיווק ,18/01/2026,17.7,30,6,,,106.2,180
אפיה ומטבח,7.29062E+12,משטח סיליקון ענק 70*70,דולפין יבוא ושיווק ,02/12/2025,35.4,62,6,,,212.4,372
אפיה ומטבח,6.93493E+11,משפר אפיה לחלות ולחמניות 200 גר',שף קונדיטור,01/09/2025,16.64,30,3,,,49.92,90
אפיה ומטבח,7.29011E+12,"משקל אדם עד 150 ק""ג","י.סולומון חוויה שבכלי בע""מ",08/02/2026,33.5,60,4,,,134,240
אפיה ומטבח,7.29011E+12,משקפי קריאה מגן אור כחול,"ברייטקום בע""מ ",08/12/2025,12.74,20,9,0,0,114.66,180
אפיה ומטבח,9.00771E+12,מתלה כביסה טלסקופי איכותי נ ל2 מ שחור,"פעמית תבניכל שיווק בע""מ ",22/12/2025,165.2,240,4,,,660.8,960
אפיה ומטבח,9.00774E+12,מתלה כביסה טלסקופי איכותי נפתח 2 מ זהב,"פעמית תבניכל שיווק בע""מ ",01/12/2025,165.2,240,2,,,330.4,480
אפיה ומטבח,9.00774E+12,מתלה כביסה טלסקופי איכותי צבע אבן,"פעמית תבניכל שיווק בע""מ ",26/01/2026,165.2,240,2,,,330.4,480
אפיה ומטבח,7.29002E+12,מתלה רב תכליתי,"מ.א ייצור ויבוא מטליות בע""מ",30/12/2025,12.86,23,10,,,128.6,230
אפיה ומטבח,7.29012E+12,מתקן למפיות עם תופסן,"פעמית תבניכל שיווק בע""מ ",18/12/2025,8.85,16,20,,,177,320
אפיה ומטבח,7.10255E+12,מתקן נייר טישו אקרילי,"רוי מרקטינג יבוא בע""מ ",14/01/2026,22.42,44,7,,,156.94,308
אפיה ומטבח,7.10254E+11,מתקן נייר טישו אקריליק,"רוי מרקטינג יבוא בע""מ ",01/09/2025,22.42,38,8,,,179.36,304
אפיה ומטבח,7.29012E+12,מתקן קורנפלקס 3.5,"סקטור אפיקים בע""מ ",01/09/2025,30.68,55,8,,,245.44,440
אפיה ומטבח,7.29011E+12,נ- שקוף וינטג' סכין *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,130,,,287.3,520
אפיה ומטבח,7.29001E+12,"נאמן דבש 100% טבעי בד""צ 1 ק""ג",נאמן לאורך זמן ,10/12/2025,35.64,43,11,0,0,392.04,473
אפיה ומטבח,7.29001E+12,"נאמן דבש 100% טבעי בד""צ 350גר'",נאמן לאורך זמן ,24/11/2025,14.1,20,9,0,0,126.9,180
אפיה ומטבח,7.29002E+12,נוזל רצפות 2 ליטר רויאל,"א.ד שיווק מבשמים בע""מ ",15/12/2025,23.48,32,5,,,117.4,160
אפיה ומטבח,7.29124E+12,נורת כדור לד 12W,"ברייטקום בע""מ ",15/12/2025,3.98,8,100,,,398,800
אפיה ומטבח,7.291E+12,נורת לד פחם 2700K A60 8.5W צ זהב,"ברייטקום בע""מ ",30/11/2025,18.88,16,48,,,906.24,768
אפיה ומטבח,7.291E+12,נורת לד פחם 8.5W A60 2200K צבע זהב,"ברייטקום בע""מ ",05/01/2026,18.88,16,48,,,906.24,768
אפיה ומטבח,8.35811E+11,נטיפי צ'יפס בטעם שוקולד 250 גר',"הנמל אריזות ושיווק 1984 בע""מ ",05/01/2026,6.49,11,27,,,175.23,297
אפיה ומטבח,7.29012E+12,נטלה אקריליק ידיות זהב,"פעמית תבניכל שיווק בע""מ ",05/01/2026,28.32,50,10,,,283.2,500
אפיה ומטבח,7.29012E+12,נטלה אקריליק ידיות כסף,"פעמית תבניכל שיווק בע""מ ",15/01/2026,28.32,50,11,,,311.52,550
אפיה ומטבח,7.29012E+12,נטלה אקריליק ידיות שחורות,"פעמית תבניכל שיווק בע""מ ",01/12/2025,23.6,45,8,,,188.8,360
אפיה ומטבח,6.92354E+12,נטלה פלסטי + 2 ידיות לבן,"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,17.15,28,1,,,17.15,28
אפיה ומטבח,7.29002E+12,"ניילון נצמד מוסדי רוחב 45 ס""מ","מ.א ייצור ויבוא מטליות בע""מ",01/09/2025,51.92,80,6,,,311.52,480
אפיה ומטבח,8.35811E+11,נייר אפיה לתבנית מוארכת 30 יחי' 28X10,"הנמל אריזות ושיווק 1984 בע""מ ",01/09/2025,7.08,12,1,0,0,7.08,12
אפיה ומטבח,7.29001E+12,נייר אפיה נשלף 50 יחי',נאמן לאורך זמן ,05/02/2026,5.66,10,627,0,0,3548.82,6270
אפיה ומטבח,8.35811E+11,"נייר אפייה בגליל 25 מ' רוחב 37 ס""מ","הנמל אריזות ושיווק 1984 בע""מ ",25/01/2026,12.63,20,10,0,0,126.3,200
אפיה ומטבח,7.29001E+12,נייר טואלט סופט 40 גלילים,"החברה הדרומית לשיווק בע""מ ",01/09/2025,30.33,38,87,,,2638.71,3306
אפיה ומטבח,7.29012E+12,"נייר עטיפה גיליון 70*100 ס""מ","נ.ש.מ יבוא שיווק והפצה בע""מ ",03/09/2025,3.42,6,118,,,403.56,708
אפיה ומטבח,6.01571E+11,נייר צץ רץ 4000,"יוניק קר יבוא וסחר בע""מ ",11/01/2026,36.58,55,71,0,0,2597.18,3905
אפיה ומטבח,7.29011E+12,נפקינג מובלטות ורוד 15,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,3.87,7,7,,,27.09,49
אפיה ומטבח,7.2901E+12,נר אווירה רחני בכלי זכוכית,"י.סולומון חוויה שבכלי בע""מ",31/12/2025,15.34,28,10,,,153.4,280
אפיה ומטבח,7.29002E+12,נר דימוי אוטו חתונה,"אליס אריזות מתנה בע""מ ",01/09/2025,4.67,12,8,0,0,37.36,96
אפיה ומטבח,7.29E+12,נר הבדלה דקורטיבי עשישית,מנורה ,01/09/2025,8.5,15,6,,,51,90
אפיה ומטבח,6.92354E+12,נר לד פילר כסף גילטר כולל סוללה,"דקל יבוא ויצור דברי נוי בע""מ ",03/09/2025,1.25,3,5,0,0,6.25,15
אפיה ומטבח,7.29011E+12,נר מספר 0 כסף חלק,שמחה זה אנחנו,01/09/2025,3.75,10,1,0,0,3.75,10
אפיה ומטבח,7.29E+12,נר נשמה בכוס זכוכית 7 ימים,מנורה ,01/09/2025,6.14,10,88,,,540.32,880
אפיה ומטבח,7.29002E+12,נר עגול לבן/כסף פנינה,"אליס אריזות מתנה בע""מ ",01/09/2025,9.35,17,6,0,0,56.1,102
אפיה ומטבח,6.92354E+12,נר פילר לד {ללא סוללה },"דקל יבוא ויצור דברי נוי בע""מ ",01/09/2025,11.09,16,1,0,0,11.09,16
אפיה ומטבח,77343000233,נרות חימום אורה 50,מנורה ,08/02/2026,4.96,9,66,0,0,327.36,594
אפיה ומטבח,44164282827,נרות חימום להבה תות 18 יחי',מנורה ,04/01/2026,5.78,10,6,0,0,34.68,60
אפיה ומטבח,7.29012E+12,נרות לב גדול צבעוני ריחני אר' 6,"פעמית תבניכל שיווק בע""מ ",04/01/2026,6.96,12,21,,,146.16,252
אפיה ומטבח,7.29001E+12,נשיקות ורודות,"רות פטיפורים בע""מ",01/09/2025,7.09,12,15,,,106.35,180
אפיה ומטבח,7.29001E+12,נשיקות לבנות,"רות פטיפורים בע""מ",01/09/2025,7.09,12,16,,,113.44,192
אפיה ומטבח,7.29011E+12,ס- נצנצים זהב וינטג' מזלג *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,197,,,435.37,788
אפיה ומטבח,7.29001E+12,סוגרים לשקיות בגדלים שונים,נאמן לאורך זמן ,01/09/2025,4.18,8,46,0,0,192.28,368
אפיה ומטבח,8.35811E+11,סודה לשתיה הנמל,"הנמל אריזות ושיווק 1984 בע""מ ",18/01/2026,2.18,4,28,0,0,61.04,112
אפיה ומטבח,7.2901E+12,סוויט לוז ממתיק דל קלוריות ז,נאמן לאורך זמן ,01/09/2025,18.29,28,10,0,0,182.9,280
אפיה ומטבח,6.93493E+11,סוכר גבישי 200 גר',שף קונדיטור,01/09/2025,12.86,22,4,,,51.44,88
אפיה ומטבח,7.29E+12,סוכר וניל 10 יחי' השף אלפרדו,נאמן לאורך זמן ,01/09/2025,2.02,3,23,0,0,46.46,69
אפיה ומטבח,7.29001E+12,"סוכר חום כהה בשקית 1 ק""ג",נאמן לאורך זמן ,01/09/2025,10.09,17,11,0,0,110.99,187
אפיה ומטבח,7.29002E+12,סוכריות צבע אחיד לקישוט 200 גר',נאמן לאורך זמן ,01/09/2025,7.73,12,6,0,0,46.38,72
אפיה ומטבח,7.29002E+12,סוכריות צבעוניות לקישוט עוגה 90 גר' קטן,נאמן לאורך זמן ,22/12/2025,4.12,9,20,0,0,82.4,180
אפיה ומטבח,7.2901E+12,סופלה שוקולד אבקה להכנה 250 גר',נאמן לאורך זמן ,01/09/2025,14.04,21,4,0,0,56.16,84
אפיה ומטבח,7.29002E+12,סחבות מיקירופייבר לרצפה ארוז 3,"חי מוצרי נייר בע""מ ",02/12/2025,7.08,12,43,,,304.44,516
אפיה ומטבח,7.29001E+12,סחלב 500 גר',נאמן לאורך זמן ,15/01/2026,12.86,18,3,0,0,38.58,54
אפיה ומטבח,7.29E+12,"סחלב חלב ישראל בד""צ 500 גר'",נאמן לאורך זמן ,13/01/2026,14.87,23,3,,,44.61,69
אפיה ומטבח,6.92354E+12,סט 2 סלסלה בד עגול קרם/זהב,"דקל יבוא ויצור דברי נוי בע""מ ",13/01/2026,40,68,2,,,80,136
אפיה ומטבח,7.29062E+12,סט 3 חותכני לב,דולפין יבוא ושיווק ,13/01/2026,7.08,13,5,,,35.4,65
אפיה ומטבח,7.29062E+12,סט 3 חותכני עגול,דולפין יבוא ושיווק ,13/01/2026,7.08,13,5,,,35.4,65
אפיה ומטבח,7.29002E+12,סט 3 חותכנים נירוסטה דובי,דולפין יבוא ושיווק ,11/01/2026,7.08,14,6,,,42.48,84
אפיה ומטבח,7.29002E+12,סט 3 חותכנים נירוסטה פרפר,דולפין יבוא ושיווק ,08/02/2026,7.08,14,5,,,35.4,70
אפיה ומטבח,7.29012E+12,סט 3 מראות בצבע שחור/זהב 31.2X15X1.2,"י.סולומון חוויה שבכלי בע""מ",13/01/2026,28.32,50,12,,,339.84,600
אפיה ומטבח,7.29012E+12,סט 3 קולבי עץ,"פעמית תבניכל שיווק בע""מ ",15/01/2026,5.31,10,24,,,127.44,240
אפיה ומטבח,7.29062E+12,סט 3 קלפי פלסטיק,דולפין יבוא ושיווק ,12/02/2026,5.78,12,6,,,34.68,72
אפיה ומטבח,6.92354E+12,סט 3 קפ' לב,"דקל יבוא ויצור דברי נוי בע""מ ",12/02/2026,16,28,6,,,96,168
אפיה ומטבח,6.92354E+12,סט 3 קפ' לב לבבות לבן,"דקל יבוא ויצור דברי נוי בע""מ ",12/02/2026,16,35,6,,,96,210
