מחלקה,ברקוד,פריט,ספק,01/09/2025,עלות,מחיר מכירה,כמות במלאי,כמות מינימלי,כמות מקסימלי,"סה""כ עלות","סה""כ מכירה"
חד פעמי,7.29012E+12,'ט- קרם וינטג' מזלג לייט *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,239,,,528.19,956
חד פעמי,7.29012E+12,'ט- קרם וינטג' סכין לייט*10 יח,"ענבוסי בכר בע""מ ",01/09/2025,2.21,4,123,,,271.83,492
חד פעמי,7.29E+12,'יא- וינטג' מרקיה נצנצים כסף*10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.02,10,3,,,18.06,30
חד פעמי,7.29011E+12,'כ- נצנצים כסף וינטג' מזלג *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,113,,,249.73,452
חד פעמי,7.29011E+12,'כ- נצנצים כסף וינטג' סכין *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,57,,,125.97,228
חד פעמי,7.29011E+12,'נ- שקוף וינטג' כף *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,137,,,302.77,548
חד פעמי,7.29011E+12,'נ- שקוף וינטג' כפית *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,1.06,4,5,,,5.3,20
חד פעמי,7.29011E+12,'נ- שקוף וינטג' מזלג *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.19,4,339,,,742.41,1356
חד פעמי,7.29011E+12,'ס- כף נצנצים זהב וינטג'  *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,72,,,159.12,288
חד פעמי,7.29011E+12,'ס- נצנצים זהב וינטג' סכין *10 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,2.21,4,18,,,39.78,72
חד פעמי,7.29012E+12,'‏29 -כוס שוט כסף 2 אוז * 24 יח,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,6.96,12,19,,,132.24,228
חד פעמי,7.29011E+12,* יא- לייט וינטג' צלחת קטנה נצנצים כסף,"נ.ש.מ יבוא שיווק והפצה בע""מ ",01/09/2025,4.51,8,29,,,130.79,232
מחלקה ראשית,7.29001E+12,*מפה רנר דגם רוז לבן-כסף  137,"נ.ש.מ יבוא שיווק והפצה בע""מ ",06/01/2026,3.89,10,99,,,385.11,990
אפיה ומטבח,7.29E+12,"1 ק""ג אבקת סוכר שקית",נאמן לאורך זמן ,13/01/2026,8.85,15,6,0,0,53.1,90
אפיה ומטבח,7.29011E+12,10 מרקיות עגולות פלוורס,אלי אקסטרה ,13/01/2026,8.14,14,5,,,40.7,70
אפיה ומטבח,7.29002E+12,"10 שקיות זילוף מקצועיות 30 ס""מ",דולפין יבוא ושיווק ,13/01/2026,4.13,8,11,,,45.43,88
אפיה ומטבח,7.29002E+12,"10 שקיות זילוף מקצועיות 36 ס""מ",דולפין יבוא ושיווק ,13/01/2026,4.43,9,10,,,44.3,90
אפיה ומטבח,7.29002E+12,"10 שקיות זילוף מקצועיות 40 ס""מ",דולפין יבוא ושיווק ,01/09/2025,5.02,10,12,,,60.24,120
אפיה ומטבח,7.29002E+12,"10 שקיות זילוף מקצועיות 45 ס""מ",דולפין יבוא ושיווק ,02/09/2025,5.31,10,10,,,53.1,100
אפיה ומטבח,7.29002E+12,100 סוכריות על מקל פירות בשקית 900 גר',נאמן לאורך זמן ,29/12/2025,20.18,32,10,0,0,201.8,320
חד פעמי,7.2901E+12,100 צלחות גדולות פלאס,"נטו מלינדה סחר בע""מ",22/01/2026,6.96,20,1608,,,11191.68,32160
לבית,7.29001E+12,12 מספרים,"המרשלג  פרלינס בע""מ ",22/01/2026,2.66,5,2,,,5.32,10
לבית,7.291E+12,2 סוללות C-LR14 DUAL POWER,"ברייטקום בע""מ ",08/02/2026,22.42,10,24,,,538.08,240
לבית,7.291E+12,2 סוללות D-LR20 DUAL POWER,"ברייטקום בע""מ ",05/02/2026,0,10,24,,,0,240
לבית,7.29012E+12,2 קופסאות אקרילי גדול,"פעמית תבניכל שיווק בע""מ ",03/09/2025,11.68,22,24,,,280.32,528
חד פעמי,7.29011E+12,2 תבניות קרטון קשיח,"החברה הדרומית לשיווק בע""מ ",01/09/2025,8.85,15,16,,,141.6,240
חד פעמי,7.29E+12,20 מפיות 3 שכבות 33*33,"נ.ש.מ יבוא שיווק והפצה בע""מ ",03/09/2025,3.88,8,266,,,1032.08,2128
חד פעמי,7.29011E+12,20 צלחת מרובעת גודל  6 -קנה סוכר,אלי אקסטרה ,01/09/2025,3.54,10,26,,,92.04,260
לבית,7.29011E+12,"25 כפות עץ מעוצבים 20 ס""מ",אלי אקסטרה ,01/09/2025,5.84,10,24,,,140.16,240
לבית,7.29011E+12,"25 כפיות עץ איכותיות 16 ס""מ",אלי אקסטרה ,03/09/2025,2.36,6,8,0,0,18.88,48
לבית,7.29011E+12,"25 מזלגות עץ מעוצבים 20 ס""מ",אלי אקסטרה ,01/09/2025,4.72,10,9,0,0,42.48,90
לבית,7.29011E+12,"25 סכיני עץ מעוצבים 20 ס""מ",אלי אקסטרה ,01/12/2025,4.72,10,21,,,99.12,210
מוצרי נקיון,7.29012E+12,3 יח מטליות מיקרופייבר לרצפה,"פעמית תבניכל שיווק בע""מ ",06/01/2026,8.85,14,12,0,0,106.2,168
מוצרי נקיון,7.29001E+12,3 כריות ברזל לקרצוף חזק SHINY,"מ.א ייצור ויבוא מטליות בע""מ",03/09/2025,4.71,9,39,,,183.69,351
